SOURCE,TARGET,WEIGHT
15749,6129,2.5833333333333334E-4
62738,6129,2.5833333333333334E-4
78894,6153,0.021505376344086023
85438,6242,2.5833333333333334E-4
44393,6256,2.5833333333333334E-4
22814,6278,2.5833333333333334E-4
48352,6281,2.5833333333333334E-4
58934,6288,0.0055
42248,6301,2.5833333333333334E-4
76550,6312,2.5833333333333334E-4
8657,6318,2.5833333333333334E-4
37532,6320,2.5833333333333334E-4
64696,6336,2.5833333333333334E-4
82341,6359,0.0055
93802,6364,2.5833333333333334E-4
63168,6374,0.021505376344086023
83991,6406,2.5833333333333334E-4
26118,6414,2.5833333333333334E-4
45365,6496,2.5833333333333334E-4
55056,6499,0.021505376344086023
97140,6500,0.0055
16834,6523,2.5833333333333334E-4
43532,6531,2.5833333333333334E-4
48352,6534,2.5833333333333334E-4
35112,6576,2.5833333333333334E-4
25173,6578,2.5833333333333334E-4
75636,6579,2.5833333333333334E-4
48352,6619,2.5833333333333334E-4
39988,6654,2.5833333333333334E-4
91535,6707,2.5833333333333334E-4
62738,6744,2.5833333333333334E-4
30447,6772,2.5833333333333334E-4
63726,6783,2.5833333333333334E-4
74009,6784,2.5833333333333334E-4
74043,6784,2.5833333333333334E-4
64697,6787,2.5833333333333334E-4
